window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2011,R32,San Diego St.,2,7,0.7833333333333333,-250,210,-5.5,7,True,True,False
all_prior,2011,S16,Duke,1,5,0.7374999999999999,-600,450,-9.5,-16,False,False,False
all_prior,2011,S16,San Diego St.,2,3,0.8047619047619047,-135,115,-2.0,-7,False,False,False
all_prior,2011,E8,Connecticut,3,5,0.5926282051282051,-160,140,-3.5,2,True,False,False
all_prior,2011,R64,Ohio St.,1,16,0.9016835016835018,-19475,10025,-25.5,29,True,True,False
all_prior,2011,R64,George Mason,8,9,0.5208333333333334,105,-125,2.0,4,True,True,False
all_prior,2011,R64,West Virginia,5,12,0.6833333333333332,-127,113,-2.0,8,True,True,False
all_prior,2011,R64,Kentucky,4,13,0.9523809523809524,-1079,791,-13.0,2,True,False,False
all_prior,2011,R64,Xavier,6,11,0.5592948717948718,-115,-105,-1.0,-11,False,False,False
all_prior,2011,R64,Syracuse,3,14,0.8942760942760942,-1450,850,-13.0,17,True,True,False
all_prior,2011,R64,Washington,7,10,0.6092948717948717,-260,210,-6.0,3,True,False,False
all_prior,2011,R64,North Carolina,2,15,0.8857142857142857,-4400,1650,-18.5,15,True,False,False
all_prior,2011,R32,Ohio St.,1,8,0.9925925925925926,-900,650,-11.5,32,True,True,False
all_prior,2011,R32,Kentucky,4,5,0.6884615384615386,-180,155,-3.5,8,True,True,False
all_prior,2011,R32,Syracuse,3,11,0.9301587301587301,-210,175,-4.5,-4,False,False,False
all_prior,2011,R32,North Carolina,2,7,0.6375000000000001,-175,155,-3.5,3,True,False,False
all_prior,2011,S16,Ohio St.,1,4,0.6682359307359307,-250,210,-5.5,-2,False,False,False
all_prior,2011,S16,North Carolina,2,11,0.8777777777777778,-200,170,-4.0,18,True,True,False
all_prior,2011,E8,North Carolina,2,4,0.561111111111111,115,-135,1.5,-7,False,False,False
all_prior,2011,F4,Connecticut,3,8,0.6208333333333332,-160,140,-3.0,12,True,True,False
all_prior,2012,R64,North Carolina,1,16,0.8698412698412699,-2105,1305,-15.5,19,True,True,False
all_prior,2012,R64,Alabama,9,8,0.6419753086419753,100,-120,1.0,-1,False,False,True
all_prior,2012,R64,Temple,5,12,0.5816714150047484,-165,145,-3.0,-14,False,False,False
all_prior,2012,R64,Michigan,4,13,0.674264007597341,-250,200,-5.5,-5,False,False,False
all_prior,2012,R64,North Carolina St.,11,6,0.6419753086419753,-160,140,-2.5,14,True,True,False
all_prior,2012,R64,Georgetown,3,14,0.6276550301212958,-170,150,-3.5,15,True,True,False
all_prior,2012,R64,Saint Mary's,7,10,0.6001899335232669,-135,115,-2.0,-3,False,False,False
all_prior,2012,R64,Kansas,2,15,0.8092352092352092,-1415,915,-13.5,15,True,True,False
all_prior,2012,R32,North Carolina,1,8,0.7131495955025368,-550,425,-9.5,14,True,True,False
all_prior,2012,R32,South Florida,12,13,0.617283950617284,-140,120,-2.5,-6,False,False,False
all_prior,2012,R32,Georgetown,3,11,0.6484108837622652,-200,170,-4.0,-3,False,False,False
all_prior,2012,R32,Kansas,2,10,0.6996815820345232,-400,320,-8.0,3,True,False,False
all_prior,2012,S16,North Carolina,1,13,0.8092352092352092,-700,500,-10.5,8,True,False,False
all_prior,2012,S16,Kansas,2,11,0.8247145641882471,-440,340,-8.5,3,True,False,False
all_prior,2012,E8,North Carolina,1,2,0.9019607843137255,120,-140,2.0,-13,False,False,False
all_prior,2012,R64,Syracuse,1,16,0.8666666666666667,-1965,1265,-15.5,7,True,False,False
all_prior,2012,R64,Kansas St.,8,9,0.54320987654321,-230,190,-5.5,6,True,True,False
all_prior,2012,R64,Vanderbilt,5,12,0.6877320210653545,-265,215,-5.5,9,True,True,False
all_prior,2012,R64,Wisconsin,4,13,0.744385026737968,-450,350,-8.5,24,True,True,False
