window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2011,R64,Wisconsin,4,13,0.5,-181,164,-4.0,14,True,True,False
all_prior,2011,R64,St. John's,6,11,0.58,100,-114,0.0,-15,False,False,False
all_prior,2011,R64,BYU,3,14,0.78,-398,342,-8.5,8,True,False,False
all_prior,2011,R64,UCLA,7,10,0.52,101,-115,1.0,2,True,True,False
all_prior,2011,R64,Florida,2,15,0.92,-985,725,-12.5,28,True,True,False
all_prior,2011,R32,Pittsburgh,1,8,0.96,-400,320,-8.0,-1,False,False,False
all_prior,2011,R32,Wisconsin,4,5,0.66,-160,140,-3.5,5,True,True,False
all_prior,2011,R32,BYU,3,11,0.72,105,-125,1.0,22,True,True,False
all_prior,2011,R32,Florida,2,7,0.74,-245,205,-5.0,8,True,True,False
all_prior,2011,S16,Wisconsin,4,8,0.68,-200,170,-4.5,-7,False,False,False
all_prior,2011,S16,BYU,3,2,0.6,125,-145,2.5,-9,False,False,False
all_prior,2011,E8,Florida,2,8,0.76,-200,170,-4.0,-3,False,False,False
all_prior,2011,R64,Kansas,1,16,0.86,-15000,8000,-23.5,19,True,False,False
all_prior,2011,R64,UNLV,8,9,0.56,-135,115,-2.0,-11,False,False,False
all_prior,2011,R64,Richmond,12,5,0.5800000000000001,138,-152,3.0,3,True,True,False
all_prior,2011,R64,Louisville,4,13,0.72,-550,455,-9.5,-1,False,False,False
all_prior,2011,R64,Georgetown,6,11,0.76,-270,220,-5.5,-18,False,False,False
all_prior,2011,R64,Purdue,3,14,0.9,-1700,1000,-15.0,22,True,True,False
all_prior,2011,R64,Texas A&M,7,10,0.5,-115,-105,-0.0,-7,False,False,False
all_prior,2011,R64,Notre Dame,2,15,0.76,-2000,1100,-14.0,13,True,False,False
all_prior,2011,R32,Kansas,1,9,0.88,-450,350,-8.0,14,True,True,False
all_prior,2011,R32,Richmond,12,13,0.58,-220,180,-4.5,17,True,True,False
all_prior,2011,R32,Purdue,3,11,0.92,-500,400,-10.0,-18,False,False,False
all_prior,2011,R32,Notre Dame,2,10,0.52,-220,180,-4.5,-14,False,False,False
all_prior,2011,S16,Kansas,1,12,0.92,-725,525,-10.5,20,True,True,False
all_prior,2011,S16,Florida St.,10,11,0.7,-200,170,-4.5,-1,False,False,False
all_prior,2011,E8,Kansas,1,11,0.86,-850,625,-11.5,-10,False,False,False
all_prior,2011,R64,Duke,1,16,0.94,-20825,10675,-25.0,42,True,True,False
all_prior,2011,R64,Michigan,8,9,0.56,-105,-115,0.0,30,True,True,False
all_prior,2011,R64,Arizona,5,12,0.7,-265,215,-5.5,2,True,False,False
all_prior,2011,R64,Texas,4,13,0.76,-700,500,-10.0,4,True,False,False
all_prior,2011,R64,Cincinnati,6,11,0.68,-107,-107,1.0,15,True,True,False
all_prior,2011,R64,Connecticut,3,14,0.84,-578,472,-10.5,29,True,True,False
all_prior,2011,R64,Temple,7,10,0.82,-137,123,-2.0,2,True,False,True
all_prior,2011,R64,San Diego St.,2,15,0.9,-1518,1132,-14.5,18,True,True,False
all_prior,2011,R32,Duke,1,8,0.78,-1200,800,-13.0,2,True,False,False
all_prior,2011,R32,Texas,4,5,0.84,-260,220,-5.5,-1,False,False,False
all_prior,2011,R32,Connecticut,3,6,0.56,-190,160,-4.0,11,True,True,False
all_prior,2011,R32,San Diego St.,2,7,0.86,-250,210,-5.5,7,True,True,False
all_prior,2011,S16,Duke,1,5,0.82,-600,450,-9.5,-16,False,False,False
all_prior,2011,S16,San Diego St.,2,3,0.8,-135,115,-2.0,-7,False,False,False
all_prior,2011,E8,Connecticut,3,5,0.64,-160,140,-3.5,2,True,False,False
all_prior,2011,R64,Ohio St.,1,16,0.86,-19475,10025,-25.5,29,True,True,False
all_prior,2011,R64,Villanova,9,8,0.64,-125,105,-2.0,-4,False,False,False
all_prior,2011,R64,West Virginia,5,12,0.7,-127,113,-2.0,8,True,True,False
all_prior,2011,R64,Kentucky,4,13,0.92,-1079,791,-13.0,2,True,False,False
all_prior,2011,R64,Marquette,11,6,0.52,-105,-115,1.0,11,True,True,False
all_prior,2011,R64,Syracuse,3,14,0.86,-1450,850,-13.0,17,True,True,False
all_prior,2011,R64,Washington,7,10,0.6,-260,210,-6.0,3,True,False,False
all_prior,2011,R64,North Carolina,2,15,0.92,-4400,1650,-18.5,15,True,False,False
all_prior,2011,R32,Ohio St.,1,8,0.92,-900,650,-11.5,32,True,True,False
all_prior,2011,R32,Kentucky,4,5,0.56,-180,155,-3.5,8,True,True,False
all_prior,2011,R32,Syracuse,3,11,0.86,-210,175,-4.5,-4,False,False,False
all_prior,2011,R32,North Carolina,2,7,0.72,-175,155,-3.5,3,True,False,False
all_prior,2011,S16,Ohio St.,1,4,0.72,-250,210,-5.5,-2,False,False,False
all_prior,2011,S16,North Carolina,2,11,0.8,-200,170,-4.0,18,True,True,False
all_prior,2011,E8,North Carolina,2,4,0.56,115,-135,1.5,-7,False,False,False
all_prior,2011,F4,Connecticut,3,8,0.62,-160,140,-3.0,12,True,True,False
all_prior,2012,R64,North Carolina,1,16,0.8882037280542369,-2105,1305,-15.5,19,True,True,False
all_prior,2012,R64,Alabama,9,8,0.6216513605442178,100,-120,1.0,-1,False,False,True
all_prior,2012,R64,South Florida,12,5,0.5025401559226361,145,-165,3.0,14,True,True,False
all_prior,2012,R64,Michigan,4,13,0.6266808744288488,-250,200,-5.5,-5,False,False,False
all_prior,2012,R64,North Carolina St.,11,6,0.6291635190918473,-160,140,-2.5,14,True,True,False
all_prior,2012,R64,Georgetown,3,14,0.605778045082342,-170,150,-3.5,15,True,True,False
all_prior,2012,R64,Saint Mary's,7,10,0.5045512750554767,-135,115,-2.0,-3,False,False,False
all_prior,2012,R64,Kansas,2,15,0.901745684256055,-1415,915,-13.5,15,True,True,False
all_prior,2012,R32,North Carolina,1,8,0.8035691820736326,-550,425,-9.5,14,True,True,False
all_prior,2012,R32,Ohio,13,12,0.5054904601703545,120,-140,2.5,6,True,True,False
all_prior,2012,R32,Georgetown,3,11,0.7264894414015324,-200,170,-4.0,-3,False,False,False
all_prior,2012,R32,Kansas,2,10,0.7330496344194386,-400,320,-8.0,3,True,False,False
all_prior,2012,S16,North Carolina,1,13,0.8592814973485275,-700,500,-10.5,8,True,False,False
all_prior,2012,S16,Kansas,2,11,0.7915821344961359,-440,340,-8.5,3,True,False,False
all_prior,2012,E8,North Carolina,1,2,0.8685579946843999,120,-140,2.0,-13,False,False,False
all_prior,2012,R64,Syracuse,1,16,0.8837234721845726,-1965,1265,-15.5,7,True,False,False
all_prior,2012,R64,Kansas St.,8,9,0.5301865546218487,-230,190,-5.5,6,True,True,False
all_prior,2012,R64,Vanderbilt,5,12,0.682111768834766,-265,215,-5.5,9,True,True,False
all_prior,2012,R64,Wisconsin,4,13,0.7537402131584341,-450,350,-8.5,24,True,True,False
all_prior,2012,R64,Cincinnati,6,11,0.583472161704968,-155,135,-3.0,6,True,True,False
all_prior,2012,R64,Florida St.,3,14,0.7015735609463938,-315,255,-6.5,3,True,False,False
all_prior,2012,R64,Gonzaga,7,10,0.7285505568832116,110,-130,1.5,23,True,True,False
all_prior,2012,R64,Ohio St.,2,15,0.900373540310129,-4405,2005,-17.5,19,True,True,False
all_prior,2012,R32,Syracuse,1,8,0.7914409793364942,-310,250,-6.0,16,True,True,False
all_prior,2012,R32,Wisconsin,4,5,0.590965845256271,-115,-105,-0.0,3,True,True,False
all_prior,2012,R32,Florida St.,3,6,0.5453203692795897,-145,125,-3.0,-6,False,False,False
all_prior,2012,R32,Ohio St.,2,7,0.8130820524732737,-405,325,-7.5,7,True,False,False
all_prior,2012,S16,Syracuse,1,4,0.5505166810130957,-165,145,-3.0,1,True,False,False
all_prior,2012,S16,Ohio St.,2,6,0.7444549727831485,-370,310,-7.5,15,True,True,False
all_prior,2012,E8,Ohio St.,2,1,0.5939161065170353,-150,130,-3.0,7,True,True,False
all_prior,2012,R64,Michigan St.,1,16,0.850977909691816,-3500,1100,-18.5,22,True,True,False
all_prior,2012,R64,Memphis,8,9,0.549786620590698,-135,115,-2.5,-7,False,False,False
all_prior,2012,R64,New Mexico,5,12,0.7038478447560217,-200,170,-4.5,7,True,True,False
all_prior,2012,R64,Louisville,4,13,0.5273901388512394,-265,215,-5.5,7,True,True,False
all_prior,2012,R64,Murray St.,6,11,0.6188973778532352,-230,190,-5.0,17,True,True,False
all_prior,2012,R64,Marquette,3,14,0.584903900259105,-260,210,-5.0,20,True,True,False
