YEAR,DATE,AWAY,HOME,NEUTRAL,ML_AWAY,ML_HOME,AWAY_KEY,HOME_KEY
2008,2007-11-17,DenverU,NorthernColorado,False,235,-275,denver,northerncolorado
2008,2007-11-17,SacramentoState,SanFrancisco,False,550,-800,sacramentostate,sanfrancisco
2008,2007-11-18,OldDominion,Clemson,False,775,-1200,olddominion,clemson
2008,2007-11-18,NCWilmington,IllinoisState,False,500,-700,uncwilmington,illinoisstate
2008,2007-11-18,NorthernIowa,WiscMilwaukee,False,-140,120,northerniowa,milwaukee
2008,2007-11-18,NewOrleansU,NCState,False,1460,-2800,neworleans,northcarolinastate
2008,2007-11-18,Marist,Temple,True,210,-250,maristate,temple
2008,2007-11-18,CollCharleston,HoustonU,True,315,-380,collegeofcharleston,houston
2008,2007-11-18,VaCommonwealth,Arkansas,True,255,-310,vcu,arkansas
2008,2007-11-18,MiamiFlorida,Providence,True,-102,-118,miamifl,providence
2008,2007-11-18,ClevelandState,FlaAtlantic,True,-300,250,clevelandstate,flaatlantic
2008,2007-11-18,UAB,RhodeIsland,True,100,-120,uab,rhodeisland
2008,2007-11-18,Stetson,GeorgiaSouthern,True,415,-525,stetson,georgiasouthern
2008,2007-11-18,FloridaState,SouthFlorida,True,-320,260,floridastate,southflorida
2008,2007-11-18,SCarUpstate,OregonSt.,True,500,-700,scarupstate,oregonstate
2008,2007-11-18,TennesseeSt.,Akron,True,425,-550,tennesseestate,akron
2008,2007-11-18,IUPUI,Alaska-Fairbanks,False,-700,500,iupui,alaskafairbanks
2008,2007-11-18,PortlandState,ColoradoSt.,True,-145,125,portlandstate,coloradostate
2008,2007-11-18,Presbyterian,St.Bonaventure,True,385,-485,presbyterian,statebonaventure
2008,2007-11-18,LoyolaMarymount,NewMexico,False,2250,-4500,loyolamarymount,newmexico
2008,2007-11-18,Winthrop,GeorgiaTech,True,158,-180,winthrop,georgiatech
2008,2007-11-18,Baylor,NotreDame,True,240,-280,baylor,notredame
2008,2007-11-18,Iona,NorthCarolina,False,7500,-20000,iona,northcarolina
2008,2007-11-18,E.Washington,WashingtonU,False,2500,-5000,easternwashington,washington
2008,2007-11-19,WesternMichigan,DetroitU,False,-115,-105,westernmichigan,detroit
2008,2007-11-19,SantaClara,UtahU,False,475,-600,santaclara,utah
2008,2007-11-19,SanDiegoState,SanDiego,False,-170,150,sandiegostate,sandiego
2008,2007-11-19,IllinoisChicago,WichitaState,True,105,-125,illinoischicago,wichitastate
2008,2007-11-19,Monmouth,NCCharlotte,True,280,-330,monmouth,nccharlotte
2008,2007-11-19,NotreDame,GeorgiaTech,True,-210,180,notredame,georgiatech
2008,2007-11-19,Winthrop,Baylor,True,110,-130,winthrop,baylor
2008,2007-11-19,Marquette,Chaminade,False,-3000,1500,marquette,chaminade
2008,2007-11-19,LSU,OklahomaState,True,135,-155,lsu,oklahomastate
2008,2007-11-19,Princeton,Duke,True,2000,-4000,princeton,duke
2008,2007-11-19,ArizonaState,Illinois,True,175,-205,arizonastate,illinois
2008,2007-11-19,Maryland,UCLA,True,475,-600,maryland,ucla
2008,2007-11-19,Missouri,MichiganState,True,105,-125,missouri,michiganstate
2008,2007-11-20,GeorgiaState,FloridaState,False,1850,-3700,georgiastate,floridastate
2008,2007-11-20,NCWilmington,IndianaU,False,1500,-3000,uncwilmington,indiana
2008,2007-11-20,NoIllinois,IndianaState,False,650,-900,noillinois,indianastate
2008,2007-11-20,Drexel,Virginia,False,450,-550,drexel,virginia
2008,2007-11-20,MinnesotaU,IowaState,False,-110,-110,minnesota,iowastate
2008,2007-11-20,Richmond,Rice,False,-120,100,richmond,rice
2008,2007-11-20,SanFrancisco,CalSantaBarb,False,295,-355,sanfrancisco,ucsantabarbara
2008,2007-11-20,Oregon,SaintMarysCA,False,-135,115,oregon,saintmarys
2008,2007-11-20,Yale,Stanford,False,1500,-3000,yale,stanford
2008,2007-11-20,LSU,Chaminade,False,-1140,730,lsu,chaminade
2008,2007-11-20,Princeton,ArizonaState,True,290,-350,princeton,arizonastate
2008,2007-11-20,OklahomaState,Marquette,True,140,-160,oklahomastate,marquette
2008,2007-11-20,Illinois,Duke,True,275,-325,illinois,duke
2008,2007-11-20,Maryland,Missouri,True,195,-235,maryland,missouri
2008,2007-11-20,MichiganState,UCLA,True,190,-230,michiganstate,ucla
2008,2007-11-20,LoyolaMaryland,SetonHall,False,300,-360,loyolamd,setonhall
2008,2007-11-20,Buffalo,Niagara,False,230,-270,buffalo,niagara
2008,2007-11-20,Elon,Georgia,False,1420,-2600,elon,georgia
2008,2007-11-20,TowsonState,Samford,False,145,-165,towsonstate,samford
2008,2007-11-20,Evansville,SEMissouriSt,False,-110,-110,evansville,semissouristate
2008,2007-11-20,AustinPeay,UtahState,False,125,-145,austinpeay,utahstate
2008,2007-11-21,RhodeIsland,BostonCollege,False,100,-120,rhodeisland,bostoncollege
2008,2007-11-21,Toledo,Dayton,False,575,-725,toledo,dayton
2008,2007-11-21,SaintLouis,MissouriSt,False,300,-360,saintlouis,missouristate
2008,2007-11-21,Louisville,UNLV,False,-190,160,louisville,unlv
2008,2007-11-21,Hawaii,NewMexico,False,750,-1100,hawaii,newmexico
2008,2007-11-21,LongBeachState,Pepperdine,False,315,-375,longbeachstate,pepperdine
2008,2007-11-21,ArizonaState,LSU,True,-120,100,arizonastate,lsu
2008,2007-11-21,OklahomaSt.,Illinois,True,190,-230,oklahomastate,illinois
2008,2007-11-21,Princeton,Chaminade,False,110,-130,princeton,chaminade
2008,2007-11-21,Marquette,Duke,True,170,-200,marquette,duke
2008,2007-11-21,TexasA&M,WashingtonU,True,-205,175,texasaandm,washington
2008,2007-11-21,OhioState,Syracuse,True,110,-130,ohiostate,syracuse
2008,2007-11-21,Michigan,Butler,True,245,-285,michigan,butler
2008,2007-11-21,E.Washington,VirginiaTech,True,800,-1200,easternwashington,virginiatech
2008,2007-11-21,EasternMichigan,Manhattan,False,325,-400,easternmichigan,manhattan
2008,2007-11-21,Davidson,WesternMichigan,False,-190,165,davidson,westernmichigan
2008,2007-11-21,EasternKentucky,UAB,False,850,-1300,easternkentucky,uab
2008,2007-11-21,MoreheadState,Oklahoma,False,2750,-6000,moreheadstate,oklahoma
2008,2007-11-21,NorthernArizona,Kansas,False,4000,-10000,northernarizona,kansas
2008,2007-11-21,MontanaState,FresnoState,False,318,-385,montanastate,fresnostate
